i_nadph,i_r5p,nadph_phi,r5p_phi,NADPHox_Vmax,R5Pase_Vmax,retcode,cycle_index,mode,V_G6PD_uM_min,V_PGLS_uM_min,V_PGD_uM_min,V_RPI_uM_min,V_RPE_uM_min,V_TKT_Rxn1_uM_min,V_TKT_Rxn2_uM_min,V_TA_uM_min,V_R5Pase_uM_min,V_NADPHox_uM_min,V_HK1_uM_min,V_GPI_uM_min,V_PFKP_uM_min,V_ALDO_uM_min,V_TPI_uM_min,V_GAPDH_uM_min,R5P_uM,S7P_uM,NADPH_uM,NADP_uM,Ru5P_uM,X5P_uM,E4P_uM,F6P_uM,GAP_uM,G6P_uM,Glucose_uM,F16BP_uM,DHAP_uM,PGLn_uM,PGA_uM,ATP_uM,atpase_frac
9,2,0.15199110829529336,0.001873817422860385,0.00021639262996719168,6.669473707358649e-7,Terminated,0.9956140675043811,cycle,5948.321599818976,5948.3215998092,5948.321419987894,2000.1664229187681,3948.1549868225993,1974.0774867097095,1974.0774875223112,1974.0774865813291,26.08893699903799,11896.643019802506,9771.610880288432,3823.2892459048,7771.444207565354,7771.444256793915,7771.444261335826,17516.966005824725,13.017573677045302,11.907716449384449,10.945923804970189,0.05407619502994908,103.38195841256164,128.46725283968786,18.797318075367347,275.4119721570858,12.818223840959131,766.8528494133526,24839.138932851038,13914.37253395944,2848.5492716631934,0.08281351124814815,442.33290965890933,941.6838451497111,0.010000000000000002
10,2,0.2848035868435802,0.001873817422860385,0.0004054802802111039,6.669473707358649e-7,Terminated,0.9982737298960108,cycle,11141.918185461725,11141.918185454595,11141.918044301126,3726.795310134175,7415.122718614512,3707.561349948491,3707.5613498987536,3707.5613496848564,19.23396026465624,22283.83622975829,10621.059013808295,-520.8592021186289,6894.263486446881,6894.263516714016,6894.263519340998,17496.088386202282,6.441371027408272,7.34671308257694,10.897956845638038,0.10204315436211805,214.65722894185322,262.3279060595354,9.062054320300357,250.81552999028196,12.789517537594897,696.530008023425,24825.190168581226,13806.494796744488,2842.163779379759,0.13442445524177185,550.4216828197984,936.8762656639149,0.010000000000000002
11,2,0.533669923120631,0.001873817422860385,0.000759796013685877,6.669473707358649e-7,Terminated,0.9992619789383228,cycle,20862.816730098573,20862.816730065602,20862.816192404225,6964.536809808437,13898.279308963842,6949.139611702106,6949.139611255056,6949.139611170137,15.397198152722254,41725.63292249298,12230.899699964455,-8631.91708890039,5266.362111969892,5266.362505223368,5266.362545415588,17481.864662655757,4.408577471993663,6.355574122665873,10.805890780319325,0.19410921968089773,573.7122922333172,681.5805026986317,3.642627883925766,206.09144333763686,12.591381911325065,569.0883086889478,24798.770299463988,13298.796477402519,2798.121617235623,0.26024734609215977,1141.437942993788,896.7584938794738,0.010000000000000002
12,2,1.0,0.001873817422860385,0.001423719008264463,6.669473707358649e-7,Terminated,0.9997623506754669,cycle,37971.92176384685,37971.92176384664,37971.921732879586,12663.323130047971,25308.598441648748,12654.299128497587,12654.299127168666,12654.299127164617,9.024001558403327,75943.84349716484,14756.018349840915,-23215.903412707972,2092.6948420967115,2092.6949623025725,2092.695053514263,16839.689144727385,3.002458176855008,12.246406400812822,8.035299899144691,2.964700100855512,4801.251040707765,5442.447221537335,1.0465284588116563,54.07320993259693,1.7731199662436339,7.06776476288935,24757.36961522196,259.82295771114264,394.0302647739491,2.2270278241183186,25467.869699078066,46.452281803819865,0.010000000000000002
1,3,0.001,0.003511191734215131,1.4237190082644631e-6,1.2497376034157865e-6,Terminated,-0.7453890331482966,reverse,39.15305468701159,39.15305453881092,39.151065637075895,58.60856053597708,-19.457493927255896,-9.728748164950794,-9.728744480365027,-9.728746752955145,68.33731226496555,78.3041203240009,8883.218624604482,8844.065596501365,8824.608116243027,8824.608989071186,8824.609084008447,17639.489327648702,72.86529045613088,30.809496509735137,10.999291185678508,0.0007088143215564874,30.643320829839066,39.85583654244005,53.046008944508664,278.5895107672872,11.889999432275813,791.8387451095265,24853.733161045348,11996.828473285917,2642.2806670318414,0.35137452058854807,4704.011092676041,879.9527452680243,0.010000000000000002
2,3,0.001873817422860385,0.003511191734215131,2.6677894829434595e-6,1.2497376034157865e-6,Terminated,0.06815093402798057,linear,73.36267743346599,73.36267758072175,73.36465443916894,70.03018269219024,3.334470830852339,1.6672366471038196,1.6672329709702782,1.667235247734094,68.36294244358184,146.7273318727695,8889.300018010792,8815.937314706389,8819.271772220029,8819.270903434766,8819.270809932006,17640.208947319094,72.96495760815449,31.031518480874276,10.99903043687673,0.0009695631233489829,31.194672093097083,40.54971564297272,53.33560054949441,281.8729614638624,12.016295509796125,799.6996332882937,24853.63323711263,12255.898325758522,2670.3469676503028,0.3077382439894394,4115.43847305238,888.9150848105163,0.010000000000000002
3,3,0.003511191734215131,0.003511191734215131,4.998950413663146e-6,1.2497376034157865e-6,Terminated,0.5026385405812432,cycle,137.46871961737847,137.46871974512857,137.47043590518433,91.40457671212238,46.06585850175651,23.0329304137875,23.032927163022165,23.032929198700494,68.37164301332723,274.93915552278327,8900.458903086146,8762.990162031489,8809.056009476935,8809.055253705315,8809.055173585422,17641.14335534937,72.76944528763993,31.270303744739767,10.998519881779375,0.0014801182207218818,32.08068800851453,41.6582156610976,53.61253845867428,286.5308108742072,12.197740815718463,810.7823206103039,24853.449885166185,12632.93229120431,2710.668854714741,0.24450115151520196,3260.8610755747404,901.8373943220304,0.010000000000000002
4,3,0.006579332246575682,0.003511191734215131,9.367120381137132e-6,1.2497376034157865e-6,Terminated,0.7348804979976641,cycle,257.59053115904766,257.59053121383096,257.5912687317338,131.3919399186355,126.19932864112099,63.09966494715472,63.09966344971703,63.099664415493876,68.29227334140391,515.181799891003,8920.800504861953,8663.209965566188,8789.409289996316,8789.408964389346,8789.408930498415,17641.917558707857,71.48661135105056,31.28518959133594,10.997511584596003,0.0024884154041030977,33.388016826719124,43.275396459739056,53.48655399618909,291.6077067316321,12.403849720535021,822.6610564195125,24853.115654221576,13067.91321908179,2756.4715801974257,0.17221573761582584,2278.7584156108683,916.6045640437217,0.010000000000000002
5,3,0.012328467394420659,0.003511191734215131,1.755227337220535e-5,1.2497376034157865e-6,Terminated,0.8591589339293287,cycle,482.67068610779444,482.67068615873745,482.67137642468435,206.21036361818364,276.46101301286706,138.23050747731713,138.23050575665727,138.23050693875606,67.97985399248411,965.3420625330465,8958.006041595925,8475.335350694979,8751.79636121222,8751.796055563316,8751.796024254041,17641.822585934744,67.71530962332615,30.627317071348855,10.99554217353337,0.004457826466771827,35.31336921381201,45.62107900896488,52.23222711579815,295.2891232068679,12.577575145635336,830.7577323561409,24852.50434183651,13439.336855005275,2795.0777097184446,0.11198188677166825,1446.384629526389,929.1947463745395,0.010000000000000002
6,3,0.02310129700083159,0.003511191734215131,3.288975565564677e-5,1.2497376034157865e-6,Terminated,0.9257399930266887,cycle,904.4111185298829,904.4111185481436,904.4113707142437,346.2448425057105,558.1665287218686,279.0832651559846,279.08326418471006,279.08326490887146,67.16157596876928,1808.8224892447156,9026.66955963045,8122.258442311353,8680.424971693303,8680.424859482053,8680.42484808245,17639.932971968516,59.739807891502686,28.747904942567846,10.991772266462034,0.008227733538128435,38.59246296609148,49.57972716268186,48.921773009501955,296.4051215858003,12.693312830969527,831.9387106615729,24851.376181406053,13687.35308878443,2820.7971858045426,0.07478500291374894,900.6593841057216,937.8027282100047,0.010000000000000002
