i_nadph,i_r5p,nadph_phi,r5p_phi,NADPHox_Vmax,R5Pase_Vmax,retcode,cycle_index,mode,V_G6PD_uM_min,V_PGLS_uM_min,V_PGD_uM_min,V_RPI_uM_min,V_RPE_uM_min,V_TKT_Rxn1_uM_min,V_TKT_Rxn2_uM_min,V_TA_uM_min,V_R5Pase_uM_min,V_NADPHox_uM_min,V_HK1_uM_min,V_GPI_uM_min,V_PFKP_uM_min,V_ALDO_uM_min,V_TPI_uM_min,V_GAPDH_uM_min,R5P_uM,S7P_uM,NADPH_uM,NADP_uM,Ru5P_uM,X5P_uM,E4P_uM,F6P_uM,GAP_uM,G6P_uM,Glucose_uM,F16BP_uM,DHAP_uM,PGLn_uM,PGA_uM,ATP_uM
1,3,0.001,0.003511191734215131,1.4237190082644631e-6,1.2497376034157865e-6,Terminated,-0.8687644463495438,reverse,39.15231296387657,39.15231292873871,39.15184141962033,61.828273890718826,-22.676430689177447,-11.338171834377718,-11.338256533785131,-11.338257225387979,73.16645045924285,78.3041543834151,87708.85676774365,87669.70451042359,87647.02801976557,87647.02802052272,87647.02802626563,175282.71787567332,40.257973617193045,1305.6656191872016,10.999347969389758,0.0006520306046794906,18.17156061778365,23.643718700217804,3.4688941614183513,1399.8253336342514,0.0919295252768805,3990.8476837193184,23582.117493131424,2.6089255936863096,20.508232466717036,0.23486922610969832,3142.8466206422577,10242.543022173617
2,3,0.001873817422860385,0.003511191734215131,2.6677894829434595e-6,1.2497376034157865e-6,Terminated,-0.0027701365977707286,reverse,73.36341228357523,73.36341230473265,73.36369676753378,73.49896532699697,-0.13527069253323082,-0.0676792686814784,-0.06759420363216698,-0.06759312726943643,73.5666389568793,146.72710905123546,87711.18816342736,87637.82472661909,87637.68952890766,87637.68952662182,87637.68951530769,175275.3113615398,51.898764395382194,1086.1207669044072,10.998832198190835,0.0011678017979587787,23.190586899885,30.1478913184901,5.529930106882533,1438.0071533794362,0.18157826371543107,4082.5546323508693,23582.080567724635,5.934603047208,40.43398276353889,0.17185240692005876,2294.582140089752,10266.874811004871
3,3,0.003511191734215131,0.003511191734215131,4.998950413663146e-6,1.2497376034157865e-6,Terminated,0.4626894474973116,linear,137.46868165772779,137.4686816860822,137.46906434618245,95.0652437737314,42.40381725306466,21.20186138946098,21.201951530110186,21.20195370553497,73.8633732933299,274.9377460042841,87719.98019292176,87582.51149370667,87624.91539085007,87624.9153809658,87624.91535232174,175271.03259237338,65.90014270675968,880.3499163401464,10.997850735901645,0.002149264087031752,29.579315562589098,38.410913429806094,8.796371085539143,1458.9648366105368,0.36224143009857723,4131.190892855805,23581.941317020006,16.9140480989351,80.58903173352502,0.1215017003021002,1612.692122157111,10279.43606485412
4,3,0.006579332246575682,0.003511191734215131,9.367120381137132e-6,1.2497376034157865e-6,Terminated,0.7126617491186255,cycle,257.58771967380954,257.58771970283124,257.5881152149137,135.20589244833326,122.38221984514651,61.19107839851268,61.191137606590345,61.191140076789004,74.01480481959425,515.1758348896295,87739.01050653656,87481.42277996137,87603.80505341406,87603.8050335788,87603.80499598233,175268.80110530014,76.3490776608304,749.3255644643226,10.996000704722771,0.0039992952658218185,35.4554658060881,45.965139432601475,12.07195082211789,1469.8667044082974,0.5895507140325512,4154.218807944759,23581.639911345002,38.93610786935688,131.1118582154125,0.08064239067942049,1051.708928987346,10285.509463371558
5,3,0.012328467394420659,0.003511191734215131,1.755227337220535e-5,1.2497376034157865e-6,Terminated,0.8465587938216058,cycle,482.6597800834974,482.6597800955711,482.659949276544,210.25991319267862,272.40003534441735,136.2000101220649,136.20002421393266,136.20002527821603,74.05989882981035,965.3197293610613,87775.96651590134,87293.30673801347,87565.70678755158,87565.70677611709,87565.70675948304,175267.6135445707,80.12204128880367,668.7529655792591,10.992524685438834,0.007475314549751112,40.36794276981348,52.186214794965366,14.263457531195717,1475.2735425354883,0.7858430394724928,4163.730616013669,23581.054602676577,65.40416378325885,174.74068171139604,0.05263881688873142,651.2288447063203,10288.38425607981
6,3,0.02310129700083159,0.003511191734215131,3.288975565564677e-5,1.2497376034157865e-6,Terminated,0.9181571148914699,cycle,904.3711346136487,904.3711346242342,904.3712953048596,350.8013329905561,553.5699630673809,276.7849839376891,276.78497999381983,276.7849810954548,74.01634286565589,1808.7424299211095,87845.79426475582,86941.4231428882,87494.99310789678,87494.9930975225,87494.99308460248,175266.77116490924,76.47136558209355,604.9889401194811,10.986004502522395,0.013995497466209449,45.46109978593668,58.486202616756735,15.099065152347475,1477.6481111157004,0.9264054702252578,4166.009031937237,23579.94869926549,88.64283408249433,205.98266432708715,0.03756843615234847,402.00902860783236,10289.838913777881
7,3,0.04328761281083059,0.003511191734215131,6.16293971811718e-5,1.2497376034157865e-6,Terminated,0.9564224594160478,cycle,1694.4673499809064,1694.4673499835492,1694.4673977958082,614.0496276221238,1080.4177727390922,540.208901565052,540.2088744709534,540.2088752186193,73.84071971197511,3388.9347477784263,87976.8263411335,86282.35899664079,87362.77674829449,87362.7767478292,87362.7767473328,175265.76239597233,64.57329983325108,531.5096520729926,10.973783812065196,0.02621618792334433,53.18868081286138,67.89125211595488,14.54653452745934,1478.015778548723,1.027323853424364,4162.901914633159,23577.8735627671,107.53540172058065,228.41308145044655,0.03368185523725471,261.34381287611717,10290.691952749408
8,3,0.08111308307896872,0.003511191734215131,0.00011548223819846235,1.2497376034157865e-6,Terminated,0.9769023975318989,cycle,3174.5620760295,3174.5620760280176,3174.562045820461,1107.0704956427787,2067.4915430008627,1033.745735060101,1033.7457985827466,1033.7457966158806,73.32477284243916,6349.1241218485475,88222.08418635387,85047.52215806533,87115.01376982455,87115.01377746626,87115.0137855647,175263.77330013466,44.185980404060814,427.5206348988039,10.950887499202972,0.049112500785547006,69.12545360393098,87.23823537826031,12.359620787450412,1476.3776297484458,1.107540970617182,4153.1750189571485,23573.989786763657,123.84627862922017,246.24216521389283,0.04085611791386033,191.4906217129549,10291.288297900875
9,3,0.15199110829529336,0.003511191734215131,0.00021639262996719168,1.2497376034157865e-6,Terminated,0.9879571164535784,cycle,5946.571988325301,5946.571988324646,5946.571972901959,2029.9332174279427,3916.6387473512104,1958.3193496079282,1958.3193873068026,1958.3193855578563,71.61387395581403,11893.143961226393,88679.8572635779,82733.28537682728,86649.92418565867,86649.92421165128,86649.92423822352,175258.16780134264,21.248311585580744,294.1454416281591,10.90800362748365,0.09199637250486008,108.97635555422337,135.63002524552743,8.479845926495122,1471.2992483114595,1.1557396107313154,4132.172538204505,23566.741906331546,134.11942166770507,256.95435193480586,0.06260934326491847,171.9616766353535,10291.627300319396
10,3,0.2848035868435802,0.003511191734215131,0.0004054802802111039,1.2497376034157865e-6,Terminated,0.9940602160226045,cycle,11135.780595280408,11135.78059528047,11135.780596621062,3756.0229566797707,7379.757641448945,3689.8788243611707,3689.8788189966135,3689.8788197360122,66.1441311556378,22271.561191901437,89531.73607045638,78395.9553516427,85775.71294614096,85775.71291365498,85775.7128784979,175241.30461562998,7.482375370271949,183.25668297169565,10.827724956124667,0.17227504386386253,217.51455593535223,265.9714212411379,4.351260542172938,1458.6606624579417,1.0920947666800118,4089.9675446818196,23553.258260273116,120.2348745781895,242.80715664712926,0.10824795719240403,200.75403523538262,10291.23301396127
